ID; A.X; A.Y; B.X; B.Y; A; L
6070;-433889;-1202667;-432779;-1205187;156;2753;
3711;-435869;-1203087;-434549;-1204467;136;1909;
5449;-452759;-1200657;-451049;-1201287;110;1822;
5973;-435749;-1203177;-434549;-1204467;137;1761;
5189;-435719;-1203207;-434549;-1204467;137;1719;
6547;-449039;-1195677;-448709;-1197327;168;1682;
535;-439469;-1197867;-437879;-1198167;100;1618;
7402;-449009;-1195767;-448709;-1197327;169;1588;
5654;-449009;-1195797;-448709;-1197327;168;1559;
6831;-433889;-1202667;-433229;-1204077;154;1556;
4080;-439349;-1197897;-437879;-1198167;100;1494;
8160;-448979;-1195887;-448709;-1197357;169;1494;
8170;-453119;-1195707;-452339;-1196967;148;1481;
5055;-454079;-1197687;-452789;-1198347;117;1449;
2626;-444449;-1198887;-443879;-1197567;23;1437;
5799;-444569;-1195587;-443339;-1196307;120;1425;
7579;-451019;-1204137;-450839;-1202727;7;1421;
8894;-453029;-1195797;-452339;-1196997;150;1384;
453;-454049;-1197717;-452819;-1198347;117;1381;
6762;-435479;-1203507;-434519;-1204497;135;1379;
7204;-443759;-1194897;-442649;-1195677;125;1356;
7982;-443759;-1194897;-442649;-1195677;125;1356;
3755;-441329;-1202307;-440099;-1202877;114;1355;
4248;-444629;-1195557;-443489;-1196247;121;1332;
4976;-444839;-1195467;-443669;-1196097;118;1328;
8307;-435419;-1203597;-434489;-1204527;135;1315;
8109;-443609;-1196157;-442439;-1196727;115;1301;
8624;-444659;-1198557;-444089;-1197387;25;1301;
2168;-437489;-1205037;-436199;-1205097;92;1291;
4264;-447779;-1195077;-447029;-1196127;144;1290;
6408;-438659;-1197987;-437399;-1198227;100;1282;
7538;-435419;-1203597;-434519;-1204497;135;1272;
8239;-451019;-1204137;-450839;-1202877;8;1272;
1323;-444659;-1198557;-444119;-1197417;25;1261;
5267;-441239;-1202337;-440099;-1202877;115;1261;
6096;-441239;-1202337;-440099;-1202877;115;1261;
7127;-443849;-1197867;-443819;-1199127;178;1260;
7900;-443819;-1199127;-443819;-1197867;0;1260;
5823;-447719;-1195167;-446999;-1196187;144;1248;
6627;-447749;-1195107;-447029;-1196127;144;1248;
3015;-441089;-1202397;-439979;-1202967;117;1247;
4013;-454049;-1197717;-452969;-1198287;117;1221;
831;-435299;-1203687;-434459;-1204557;136;1209;
1729;-445769;-1201617;-445139;-1200597;31;1198;
2441;-445769;-1201617;-445109;-1200627;33;1189;
1980;-453689;-1196607;-453149;-1197657;152;1180;
864;-450689;-1204017;-450539;-1202847;7;1179;
1324;-444269;-1198587;-443879;-1197477;19;1176;
467;-432719;-1199637;-431549;-1199607;88;1170;
739;-444689;-1195527;-443669;-1196097;119;1168;
197;-441149;-1202367;-440099;-1202877;115;1167;
6195;-442229;-1200417;-441179;-1200927;115;1167;
7117;-442169;-1200447;-441119;-1200957;115;1167;
460;-452669;-1198707;-451859;-1199547;136;1166;
7178;-444659;-1198557;-444179;-1197507;24;1154;
6049;-447209;-1202307;-446429;-1203147;137;1146;
5365;-434849;-1201737;-434039;-1202547;135;1145;
6017;-434849;-1201737;-434039;-1202547;135;1145;
7661;-440129;-1202847;-439319;-1203657;135;1145;
2810;-449099;-1195467;-448829;-1196577;166;1142;
5552;-439259;-1199127;-438209;-1199577;113;1142;
2149;-451709;-1197027;-451649;-1195887;3;1141;
8019;-446009;-1197867;-445949;-1196727;3;1141;
4021;-432719;-1199607;-431579;-1199637;91;1140;
4538;-441089;-1202397;-440069;-1202907;116;1140;
4318;-441119;-1196307;-439979;-1196307;90;1140;
6265;-443819;-1199097;-443819;-1197957;0;1140;
6278;-452099;-1200927;-451019;-1201287;108;1138;
4883;-443879;-1197537;-442769;-1197777;102;1135;
7902;-434129;-1198407;-433409;-1199277;140;1129;
4072;-449279;-1197987;-448499;-1198797;136;1124;
6389;-443309;-1198347;-442679;-1199277;145;1123;
3969;-452699;-1200687;-451649;-1201077;110;1120;
5688;-454079;-1196367;-453959;-1197477;173;1116;
6515;-450119;-1195647;-449999;-1196757;173;1116;
6426;-444659;-1198557;-444209;-1197537;23;1114;
5507;-432659;-1199637;-431549;-1199607;88;1110;
614;-441089;-1196307;-439979;-1196307;90;1110;
6355;-434159;-1198407;-433439;-1199247;139;1106;
3754;-440099;-1202877;-439289;-1203627;132;1103;
6897;-440189;-1202817;-439379;-1203567;132;1103;
8302;-440129;-1202847;-439349;-1203627;135;1103;
6583;-444419;-1195707;-443459;-1196247;119;1101;
7466;-436769;-1205007;-435719;-1205337;107;1100;
947;-432929;-1204257;-432449;-1205247;154;1100;
7399;-450809;-1196037;-450629;-1194957;9;1094;
6852;-433529;-1202787;-433079;-1203777;155;1087;
6213;-444719;-1200357;-443879;-1201047;129;1087;
8630;-443069;-1198107;-442559;-1199067;152;1087;
5266;-440099;-1202877;-439319;-1203627;133;1082;
5531;-444239;-1198587;-443879;-1199607;160;1081;
377;-450689;-1200267;-449609;-1200237;88;1080;
4925;-441029;-1196307;-439949;-1196307;90;1080;
1340;-453059;-1195767;-452489;-1196667;147;1065;
790;-443849;-1204437;-443159;-1205247;139;1064;
5528;-434129;-1198437;-433439;-1199247;139;1064;
6795;-434819;-1201767;-434069;-1202517;135;1060;
7917;-443069;-1198107;-442559;-1199037;151;1060;
5138;-447659;-1203957;-446609;-1203837;83;1056;
7769;-449279;-1201977;-449219;-1200927;3;1051;
28;-437669;-1205067;-436619;-1205067;90;1050;
1948;-441839;-1196997;-440789;-1196997;90;1050;
3332;-443819;-1199097;-443819;-1198047;0;1050;
8922;-451739;-1195527;-451739;-1194477;0;1050;
130;-445319;-1203807;-444299;-1204047;103;1047;
3718;-445319;-1203807;-444299;-1204047;103;1047;
4582;-443369;-1202247;-442349;-1202487;103;1047;
6898;-441149;-1202397;-440189;-1202817;113;1047;
7101;-434069;-1198467;-433409;-1199277;140;1044;
8700;-444269;-1198617;-443939;-1197627;18;1043;
6095;-440099;-1202877;-439349;-1203597;133;1039;
7160;-440159;-1197537;-439439;-1198287;136;1039;
8578;-434999;-1201977;-434279;-1202727;136;1039;
6718;-452609;-1203987;-452099;-1204887;150;1034;
3017;-435149;-1201887;-434339;-1202517;127;1026;
5410;-444719;-1200387;-443909;-1201017;127;1026;
3652;-444869;-1204347;-443849;-1204377;91;1020;
3425;-440939;-1196307;-439919;-1196307;90;1020;
4977;-436019;-1195467;-434999;-1195467;90;1020;
8135;-451739;-1195527;-451739;-1194507;0;1020;
518;-449159;-1198137;-448439;-1198857;135;1018;
6010;-435029;-1201947;-434309;-1202667;135;1018;
6789;-435029;-1201947;-434309;-1202667;135;1018;
7831;-435029;-1201947;-434309;-1202667;135;1018;
838;-451319;-1204917;-450479;-1204347;55;1015;
5542;-443309;-1198347;-442739;-1199187;145;1015;
3028;-451349;-1204887;-450479;-1204377;59;1008;
3747;-455249;-1202427;-454319;-1202037;67;1008;
8384;-432899;-1204317;-432449;-1205217;153;1006;
6698;-436529;-1204707;-435569;-1205007;107;1005;
6644;-443759;-1194897;-442919;-1195437;122;998;
4090;-446039;-1197897;-445349;-1198617;136;997;
5086;-443789;-1204617;-443069;-1205307;133;997;
8296;-436919;-1203147;-436829;-1204137;174;994;
6386;-443069;-1198107;-442589;-1198977;151;993;
7116;-443069;-1198107;-442589;-1198977;151;993;
3760;-443939;-1202517;-442949;-1202547;91;990;
7406;-448169;-1194807;-447929;-1195767;165;989;
5155;-445259;-1203837;-444299;-1204047;102;982;
5946;-445259;-1203837;-444299;-1204047;102;982;
1672;-451619;-1202937;-451169;-1202067;27;979;
3596;-443819;-1204617;-443069;-1205247;130;979;
7441;-436319;-1205427;-435569;-1206057;130;979;
4694;-441809;-1199487;-440879;-1199787;107;977;
196;-440099;-1202877;-439379;-1203537;132;976;
433;-454499;-1199277;-453839;-1199997;137;976;
2565;-451739;-1198347;-450779;-1198527;100;976;
2623;-439049;-1197687;-438089;-1197867;100;976;
8813;-435209;-1196307;-434489;-1195647;47;976;
7507;-448859;-1203507;-448169;-1202817;45;975;
4678;-438749;-1200507;-437819;-1200237;73;968;
3678;-455219;-1203597;-454379;-1204077;119;967;
5858;-452879;-1194477;-451919;-1194597;97;967;
2555;-439439;-1198527;-438479;-1198617;95;964;
1594;-450929;-1203897;-450869;-1202937;3;961;
2276;-450929;-1203897;-450869;-1202937;3;961;
2990;-443879;-1202487;-442919;-1202547;93;961;
734;-441629;-1196997;-440669;-1197027;91;960;
1358;-435239;-1196307;-434489;-1195707;51;960;
1433;-449069;-1195647;-448829;-1196577;165;960;
2151;-451739;-1195527;-451709;-1194567;1;960;
2743;-449309;-1195767;-449279;-1196727;178;960;
1378;-438209;-1196487;-437879;-1195587;20;958;
1030;-448349;-1201077;-447839;-1200267;32;957;
5856;-443759;-1194897;-442949;-1195407;122;957;
208;-435029;-1201947;-434339;-1202607;133;954;
3786;-435029;-1201947;-434339;-1202607;133;954;
5383;-435029;-1201947;-434339;-1202607;133;954;
6623;-453179;-1196457;-452519;-1197147;136;954;
6919;-440639;-1201437;-439979;-1202127;136;954;
7695;-455249;-1201407;-454559;-1202067;133;954;
617;-449219;-1197147;-448349;-1197537;114;953;
4836;-438689;-1197717;-437759;-1197927;102;953;
5238;-439019;-1202337;-438089;-1202547;102;953;
6430;-438809;-1198347;-437939;-1198737;114;953;
6996;-454919;-1200537;-454529;-1201407;155;953;
7091;-438809;-1198347;-437939;-1198737;114;953;
5722;-450119;-1195797;-449969;-1196727;170;942;
7150;-440129;-1199427;-439559;-1200177;142;942;
579;-453719;-1196727;-453239;-1197537;149;941;
2035;-452999;-1195797;-452519;-1196607;149;941;
4458;-451349;-1204887;-450539;-1204407;59;941;
4849;-445109;-1198647;-444629;-1197837;30;941;
7662;-440999;-1202487;-440129;-1202847;112;941;
6067;-443039;-1202517;-442139;-1202787;106;939;
8438;-452969;-1202337;-452699;-1201437;16;939;
7066;-452369;-1198707;-451529;-1199127;116;939;
500;-434009;-1198557;-433409;-1199277;140;937;
631;-452429;-1198347;-451739;-1197717;47;934;
1432;-448829;-1196577;-448739;-1197507;174;934;
6700;-436919;-1203207;-436829;-1204137;174;934;
5599;-446069;-1197867;-445409;-1198527;135;933;
5726;-453179;-1196487;-452519;-1197147;135;933;
3580;-442529;-1204947;-441599;-1204887;86;931;
4137;-453749;-1196667;-453239;-1197447;146;931;
250;-455099;-1202127;-454229;-1201797;69;930;
1884;-447029;-1198257;-446159;-1197927;69;930;
4966;-449189;-1197177;-448319;-1197507;110;930;
3927;-450689;-1200267;-449759;-1200267;90;930;
7218;-445049;-1197867;-445049;-1196937;0;930;
7374;-444419;-1195707;-443609;-1196157;119;926;
8110;-444419;-1195707;-443609;-1196157;119;926;
6850;-432899;-1204317;-432509;-1205157;155;926;
7649;-432899;-1204317;-432509;-1205157;155;926;
1185;-434099;-1198377;-433559;-1199127;144;924;
3329;-438809;-1197957;-437909;-1198167;103;924;
3909;-444839;-1200297;-444089;-1200837;125;924;
5096;-436589;-1204647;-435719;-1204947;109;920;
366;-441359;-1199937;-440459;-1200117;101;917;
2023;-448199;-1194567;-448019;-1195467;168;917;
7154;-438659;-1197987;-437759;-1198167;101;917;
6796;-440729;-1203837;-439949;-1204317;121;915;
538;-448949;-1197897;-448349;-1198587;138;914;
973;-452159;-1203537;-451559;-1202847;41;914;
3150;-454259;-1201827;-453659;-1201137;41;914;
7111;-449129;-1198077;-448529;-1198767;138;914;
7115;-448949;-1197897;-448349;-1198587;138;914;
5100;-436289;-1205127;-435449;-1205487;113;913;
202;-447239;-1202667;-446579;-1203297;133;912;
903;-434939;-1202037;-434309;-1202697;136;912;
3899;-434849;-1201737;-434219;-1202397;136;912;
4903;-453089;-1196577;-452429;-1197207;133;912;
7389;-453149;-1196487;-452519;-1197147;136;912;
8142;-450779;-1195857;-450629;-1194957;9;912;
8339;-448859;-1203507;-448199;-1202877;46;912;
1048;-449309;-1202067;-449189;-1201167;7;907;
2430;-455369;-1201797;-454469;-1201677;82;907;
1504;-451319;-1204917;-450569;-1204407;55;906;
1994;-444539;-1196907;-443789;-1196397;55;906;
2190;-451319;-1204917;-450569;-1204407;55;906;
3957;-453239;-1200687;-452489;-1201197;124;906;
6833;-435389;-1202217;-434879;-1202967;145;906;
2993;-450689;-1204077;-450599;-1203177;5;904;
5939;-439229;-1203567;-438359;-1203327;74;902;
3364;-441509;-1197297;-440609;-1197357;93;902;
6335;-446699;-1197027;-446639;-1196127;3;902;
7449;-436919;-1203087;-436859;-1203987;176;902;
8079;-450389;-1196787;-450329;-1195887;3;902;
622;-447929;-1195857;-447149;-1196307;119;900;
1456;-451739;-1195527;-451709;-1194627;1;900;
2370;-444599;-1201947;-443819;-1201497;60;900;
2500;-432509;-1199607;-431609;-1199637;91;900;
4697;-432479;-1199607;-431579;-1199637;91;900;
4709;-444599;-1201947;-443819;-1201497;60;900;
7008;-450539;-1200237;-449639;-1200267;91;900;
5421;-450659;-1200267;-449759;-1200267;90;900;
4372;-447359;-1204737;-446549;-1205127;115;899;
4546;-453989;-1202547;-453179;-1202157;64;899;
7179;-450809;-1198857;-450419;-1198047;25;899;
7597;-451559;-1202847;-451169;-1202037;25;899;
2627;-443699;-1197567;-442829;-1197777;103;894;
633;-451409;-1197537;-450809;-1196877;42;891;
1986;-452489;-1198377;-451829;-1197777;47;891;
5172;-448379;-1204017;-447779;-1204677;137;891;
5747;-453389;-1196787;-452789;-1197447;137;891;
6087;-455159;-1202127;-454319;-1201827;70;891;
596;-453359;-1196847;-452729;-1197477;135;890;
7703;-445049;-1202697;-444419;-1203327;135;890;
92;-451319;-1204887;-450569;-1204407;57;890;
3269;-451679;-1198347;-450809;-1198527;101;888;
26;-436259;-1205127;-435449;-1205487;113;886;
3635;-436259;-1205127;-435449;-1205487;113;886;
119;-455249;-1203297;-454469;-1203717;118;885;
1239;-440459;-1197597;-440039;-1198377;151;885;
3507;-436289;-1195617;-435509;-1196037;118;885;
5541;-443099;-1198047;-442679;-1198827;151;885;
6419;-452399;-1198677;-451619;-1199097;118;885;
6845;-448589;-1201857;-448169;-1202637;151;885;
7858;-452339;-1198707;-451559;-1199127;118;885;
6418;-449969;-1197597;-449099;-1197747;99;882;
4187;-435269;-1196277;-434549;-1195767;54;882;
4561;-455159;-1202127;-454319;-1201857;72;882;
8824;-438149;-1196397;-437879;-1195557;17;882;
1700;-449309;-1202097;-449189;-1201227;7;878;
4632;-449759;-1201167;-448889;-1201047;82;878;
5682;-446369;-1196607;-446249;-1197477;172;878;
7481;-449609;-1204197;-449489;-1205067;172;878;
1096;-441869;-1200657;-441419;-1199907;30;874;
2514;-444419;-1198137;-444089;-1197327;22;874;
2823;-446999;-1194717;-446129;-1194627;84;874;
4323;-443729;-1194927;-442979;-1195377;120;874;
5168;-455219;-1203267;-454469;-1203717;120;874;
6910;-452069;-1203207;-451739;-1202397;22;874;
974;-451559;-1202847;-451169;-1202067;26;872;
2084;-452129;-1196487;-452069;-1197357;176;872;
2700;-454019;-1196607;-453959;-1197477;176;872;
4537;-440069;-1202907;-439409;-1203477;130;872;
4589;-452129;-1203507;-451559;-1202847;40;872;
6429;-437939;-1198737;-437279;-1199307;130;872;
8044;-450059;-1195977;-449999;-1196847;176;872;
8279;-434039;-1203117;-433649;-1203897;153;872;
882;-449459;-1203087;-449429;-1203957;178;870;
3189;-432479;-1199607;-431609;-1199637;91;870;
7247;-445979;-1197717;-445949;-1196847;1;870;
3352;-441539;-1197027;-440669;-1197027;90;870;
5786;-437909;-1196667;-437309;-1197297;136;870;
6252;-432479;-1199637;-431609;-1199637;90;870;
6570;-437909;-1196667;-437309;-1197297;136;870;
8045;-453089;-1196547;-452489;-1197177;136;870;
8394;-445019;-1202757;-444389;-1203357;133;870;
8740;-445979;-1197897;-445979;-1197027;0;870;
261;-452249;-1203297;-451769;-1202577;33;865;
749;-450599;-1196277;-450119;-1195557;33;865;
6453;-432479;-1198017;-431669;-1198317;110;863;
2831;-450179;-1195077;-449759;-1194327;29;859;
3691;-455219;-1203297;-454469;-1203717;119;859;
1893;-443639;-1199667;-442859;-1199307;65;859;
4081;-438689;-1197717;-437849;-1197897;102;859;
4557;-455099;-1202397;-454319;-1202037;65;859;
5457;-453989;-1197747;-453209;-1198107;114;859;
5736;-432719;-1196247;-431939;-1196607;114;859;
7099;-433049;-1199577;-432689;-1200357;155;859;
7772;-454859;-1200687;-454499;-1201467;155;859;
8865;-448169;-1194747;-447989;-1195587;167;859;
868;-437579;-1203267;-436889;-1202757;53;858;
1924;-444269;-1198587;-443999;-1197777;18;853;
2416;-455009;-1202067;-454199;-1201797;71;853;
3943;-444179;-1198707;-443909;-1199517;161;853;
1311;-448139;-1194747;-447989;-1195587;169;853;
8026;-454109;-1196307;-453959;-1197147;169;853;
2685;-451409;-1197537;-450869;-1196877;39;852;
3108;-447239;-1203837;-446579;-1203297;50;852;
3700;-444209;-1203207;-443669;-1203867;140;852;
530;-446009;-1197927;-445439;-1198557;137;849;
658;-437669;-1195557;-437099;-1196187;137;849;
3095;-451229;-1202157;-450659;-1201527;42;849;
3980;-435089;-1199127;-434519;-1199757;137;849;
3981;-434999;-1198857;-434429;-1199487;137;849;
4233;-437639;-1195587;-437069;-1196217;137;849;
5053;-452489;-1198377;-451859;-1197807;47;849;
5834;-451529;-1195047;-450959;-1195677;137;849;
5890;-443819;-1204587;-443189;-1205157;132;849;
6564;-451529;-1195047;-450959;-1195677;137;849;
724;-450239;-1195137;-449789;-1194417;32;849;
583;-453089;-1196577;-452489;-1197177;135;848;
2532;-446219;-1199517;-445619;-1198917;45;848;
6038;-452879;-1202277;-452279;-1202877;135;848;
6857;-445049;-1202697;-444449;-1203297;135;848;
7563;-446939;-1202637;-446339;-1203237;135;848;
5846;-452309;-1194897;-451979;-1195677;157;846;
7253;-454829;-1196817;-454499;-1197597;157;846;
8587;-455309;-1199517;-454979;-1198737;22;846;
8925;-450959;-1194207;-450629;-1194987;157;846;
2758;-440729;-1195257;-439979;-1195647;117;845;
1991;-454019;-1196667;-453959;-1197507;175;842;
3423;-439499;-1196667;-438659;-1196727;94;842;
1438;-450359;-1196727;-450329;-1195887;2;840;
2917;-437459;-1205037;-436619;-1205067;92;840;
4174;-445079;-1196457;-444389;-1195977;55;840;
5298;-443939;-1202547;-443099;-1202517;87;840;
6232;-450569;-1200237;-449729;-1200267;92;840;
6620;-451799;-1197657;-451109;-1198137;124;840;
7026;-432419;-1199637;-431579;-1199607;87;840;
8096;-439439;-1195647;-438749;-1196127;124;840;
8393;-444329;-1203567;-443849;-1204257;145;840;
8830;-439439;-1195647;-438749;-1196127;124;840;
3363;-442499;-1197357;-441659;-1197357;90;840;
4843;-442499;-1197357;-441659;-1197357;90;840;
4859;-441539;-1197027;-440699;-1197027;90;840;
543;-438509;-1197747;-437699;-1197957;104;836;
5422;-449579;-1200237;-448799;-1199937;68;835;
7986;-440999;-1196637;-440219;-1196937;111;835;
8350;-433769;-1202877;-433469;-1203657;158;835;
126;-445169;-1202697;-444509;-1203207;127;834;
3488;-453779;-1196127;-453119;-1195617;52;834;
8042;-437369;-1196307;-436709;-1196817;127;834;
337;-445829;-1201737;-445409;-1201017;30;833;
719;-443729;-1194927;-443009;-1195347;120;833;
7525;-434159;-1203477;-433739;-1204197;149;833;
7843;-448379;-1201197;-447959;-1200477;30;833;
1031;-452099;-1203177;-451739;-1202427;25;831;
1193;-442919;-1198347;-442559;-1199097;154;831;
4944;-437999;-1196457;-437639;-1195707;25;831;
5615;-438689;-1198377;-437939;-1198737;115;831;
6787;-434009;-1203147;-433649;-1203897;154;831;
8265;-455069;-1203387;-454319;-1203747;115;831;
8403;-451559;-1202847;-451199;-1202097;25;831;
1671;-452159;-1203567;-451619;-1202937;40;829;
3093;-452099;-1203477;-451559;-1202847;40;829;
4154;-437729;-1196307;-437189;-1196937;139;829;
5768;-437639;-1195587;-437099;-1196217;139;829;
6818;-438929;-1202337;-438119;-1202517;102;829;
251;-434849;-1201737;-434279;-1202337;136;827;
975;-451169;-1202067;-450599;-1201467;43;827;
1673;-451169;-1202067;-450599;-1201467;43;827;
5005;-447389;-1195197;-446789;-1195767;133;827;
6212;-443849;-1201257;-443249;-1201827;133;827;
6990;-443849;-1201257;-443249;-1201827;133;827;
7876;-452579;-1199367;-452009;-1199967;136;827;
1211;-449879;-1198257;-449609;-1199037;160;825;
2059;-438149;-1196367;-437879;-1195587;19;825;
5348;-455069;-1202097;-454289;-1201827;70;825;
6369;-449909;-1198197;-449639;-1198977;160;825;
7283;-449909;-1198197;-449639;-1198977;160;825;
258;-447929;-1201887;-447119;-1201737;79;823;
277;-453239;-1200687;-452549;-1201137;123;823;
1983;-453059;-1199967;-452609;-1199277;33;823;
3621;-451319;-1204887;-450629;-1204437;56;823;
6047;-438989;-1202337;-438179;-1202487;100;823;
7124;-443279;-1198407;-442829;-1199097;146;823;
7397;-447689;-1195197;-447239;-1195887;146;823;
1129;-454859;-1200657;-454529;-1201407;156;819;
1409;-447179;-1195347;-446849;-1196097;156;819;
2186;-441389;-1204827;-440639;-1204497;66;819;
4558;-455189;-1202637;-454439;-1202307;66;819;
5122;-433319;-1203957;-432989;-1204707;156;819;
5994;-436199;-1205157;-435449;-1205487;113;819;
2496;-435089;-1200147;-434969;-1199337;8;818;
2963;-455189;-1203327;-454469;-1203717;118;818;
3008;-450959;-1203657;-450839;-1202847;8;818;
3512;-440789;-1195227;-440069;-1195617;118;818;
6491;-454079;-1196367;-453959;-1197177;171;818;
7761;-442499;-1200297;-441779;-1200687;118;818;
56;-436499;-1204707;-435719;-1204947;107;816;
1437;-453839;-1194417;-453359;-1195077;143;816;
3639;-436499;-1204707;-435719;-1204947;107;816;
4377;-436499;-1204707;-435719;-1204947;107;816;
7885;-436979;-1198167;-436319;-1198647;126;816;
3997;-443309;-1199397;-442499;-1199307;83;814;
2843;-451739;-1195527;-451679;-1194717;4;812;
3306;-447749;-1199397;-447689;-1198587;4;812;
4574;-453779;-1201857;-452969;-1201797;85;812;
5094;-436859;-1203417;-436799;-1204227;175;812;
6470;-446009;-1197747;-445949;-1196937;4;812;
6858;-445109;-1201887;-445049;-1202697;175;812;
7704;-445109;-1201887;-445049;-1202697;175;812;
1974;-434549;-1197867;-434039;-1197237;38;810;
2767;-435209;-1196277;-434579;-1195767;51;810;
2998;-449339;-1202847;-448829;-1202217;38;810;
3334;-449819;-1197837;-449789;-1198647;177;810;
4060;-433919;-1198647;-433409;-1199277;141;810;
4498;-438119;-1203927;-437609;-1203297;38;810;
4818;-443849;-1198917;-443819;-1198107;2;810;
6605;-446069;-1195257;-446039;-1196067;177;810;
6885;-449489;-1203147;-449459;-1203957;177;810;
7364;-446069;-1195197;-446039;-1196007;177;810;
7429;-453779;-1194537;-453269;-1195167;141;810;
7536;-434099;-1204767;-433589;-1205397;141;810;
7603;-449489;-1203177;-449459;-1203987;177;810;
7852;-449489;-1197927;-449459;-1198737;177;810;
8159;-448439;-1196637;-448409;-1197447;177;810;
8184;-453419;-1196727;-452909;-1197357;141;810;
8663;-446339;-1197057;-446309;-1196247;2;810;
8770;-453389;-1196757;-452879;-1197387;141;810;
1945;-439379;-1196967;-438569;-1196967;90;810;
